OEP,CATEGORÍA,ESPECIALIDAD,PLAZAS,RESERVA DISCAPACIDAD,TOTAL PLAZAS,FECHA PUBLICACIÓN BOJA,ENLACE,ACCESO LIBRE/PROMOCIÓN INTERNA
2018,,ADMINISTRATIVO/A,135,15,150,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,AUXILIAR ADMINISTRATIVO/A,114,13,127,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,AUXILIAR DE ENFERMERÍA,489,54,543,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,CELADOR/A,118,13,131,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,CELADOR/A-CONDUCTOR/A,43,5,48,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,COCINERO/A,14,2,16,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,"CUERPO SUPERIOR FACULTATIVO IISS, ESPECIALIDAD FARMACIA",11,1,12,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,"CUERPO SUPERIOR FACULTATIVO IISS, ESPECIALIDAD VETERINARIA",7,1,8,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,ENFERMERO/A,569,63,632,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,ENFERMERO/A ESPECIALISTA OBSTÉTRICO-GINECOLÓGICA (MATRÓN/A),14,2,16,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,EPIDEMIÓLOGO/A DE ATENCIÓN PRIMARIA ,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FARMACÉUTICO/A DE ATENCIÓN PRIMARIA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ALERGOLOGÍA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ANÁLISIS CLÍNICOS,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ANATOMÍA PATOLÓGICA,7,1,8,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ANESTESIOLOGÍA Y REANIMACIÓN,26,3,29,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ANGIOLOGÍA Y CIRUGÍA VASCULAR,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA APARATO DIGESTIVO,8,1,9,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA CARDIOLOGÍA,9,1,10,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA CIRUGÍA CARDIOVASCULAR,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA CIRUGÍA GENERAL Y APARATO DIGESTIVO,25,3,28,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA CIRUGÍA ORAL Y MAXILOFACIAL,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA CIRUGÍA ORTOPÉDICA Y TRAUMATOLOGÍA,19,2,21,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA CIRUGÍA PEDIÁTRICA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA DERMATOLOGÍA MEDICO QUIRÚRGICA Y VENEREOLOGÍA,4,1,5,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ENDOCRINOLOGÍA Y NUTRICIÓN,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA FARMACIA HOSPITALARIA,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA HEMATOLOGÍA Y HEMOTERAPIA,13,2,15,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA MEDICINA FÍSICA Y REHABILITACIÓN,10,1,11,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA MEDICINA INTENSIVA,22,2,24,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA MEDICINA INTERNA,22,2,24,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA MEDICINA PREVENTIVA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA MICROBIOLOGÍA-PARASITOLOGÍA,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA NEFROLOGÍA,4,1,5,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA NEUMOLOGÍA,4,1,5,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA NEUROCIRUGÍA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA NEUROFISIOLOGÍA CLÍNICA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA NEUROLOGÍA,9,1,10,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA OBSTETRICIA Y GINECOLOGÍA,21,2,23,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA OFTALMOLOGÍA,17,2,19,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA ONCOLOGÍA MÉDICA,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA OTORRINOLARINGOLOGÍA ,13,2,15,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA PEDIATRÍA,15,2,17,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA PSICOLOGÍA CLÍNICA,4,0,4,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA PSIQUIATRÍA,10,1,11,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA RADIODIAGNÓSTICO,12,1,13,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA RADIOFÍSICA HOSPITALARIA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA REUMATOLOGÍA,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FEA UROLOGÍA,11,1,12,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,FISIOTERAPEUTA,15,2,17,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,INGENIERO/A TÉCNICO/A,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,LIMPIADOR/A,11,1,12,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,MAESTRO/A INDUSTRIAL (JF. EQUIPO),8,1,9,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,MEDICO/A DE ADMISIÓN Y DOCUMENTACIÓN CLÍNICA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,MEDICO/A DE FAMILIA DE ATENCIÓN PRIMARIA,144,16,160,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,"MEDICO/A DE FAMILIA EN CENTROS DE TRANSFUSIÓN, TEJIDOS Y CÉLULAS",2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,MEDICO/A DE FAMILIA EN UNIDADES DE URGENCIA HOSPITALARIA,8,1,9,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,MONITOR/A,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,ODONTOESTOMATÓLOGO/A DE ATENCIÓN PRIMARIA,4,1,5,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,PEDIATRA DE ATENCIÓN PRIMARIA,24,3,27,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,PEÓN,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,PERSONAL DE LAVANDERÍA Y PLANCHADO,17,2,19,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,PERSONAL DE OFICIO COSTURERA,8,1,9,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,PINCHE,82,9,91,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A DE FUNCIÓN ADMINISTRATIVA OPCIÓN ADMINISTRACIÓN GENERAL,4,1,5,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A DE MANTENIMIENTO OBRAS Y ALBAÑILERÍA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A DE PROMOCIÓN EN DONACIÓN DE SANGRE ,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A DE SALUD EDUCACIÓN PARA LA SALUD Y PARTICIPACIÓN COMUNITARIA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A EN FARMACIA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A ESPECIALISTA ELECTROMEDICINA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A ESPECIALISTA EN ANATOMÍA PATOLÓGICA,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A ESPECIALISTA EN DIETÉTICA Y NUTRICIÓN,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A ESPECIALISTA EN LABORATORIO,25,3,28,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A ESPECIALISTA EN MANTENIMIENTO DE EDIFICIOS E INSTALACIONES INDUSTRIALES,29,3,32,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A ESPECIALISTA EN RADIODIAGNÓSTICO,13,2,15,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A FUNCIÓN ADMINISTRATIVA ECONOMÍA/ESTADÍSTICA,2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A FUNCIÓN ADMINISTRATIVA ORGANIZACIÓN/GESTIÓN,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,"TÉCNICO/A GESTIÓN DOCUMENTAL, BIBLIOTECA Y ARCHIVO ",2,0,2,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A MANTENIMIENTO ACABADOS CONSTRUCCIÓN,3,0,3,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A MANTENIMIENTO MADERA Y MUEBLE,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A MEDIO - GESTIÓN DE FUNCIÓN ADMINISTRATIVA ESPECIALIDAD INFORMÁTICA,1,0,1,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
2018,,TÉCNICO/A MEDIO - GESTIÓN DE FUNCIÓN ADMINISTRATIVA OPCIÓN ADMINISTRACIÓN GENERAL,5,1,6,Boletín número 227 de 23/11/2018,https://juntadeandalucia.es/boja/2018/227/BOJA18-227-00009-19175-01_00146418.pdf ,ACCESO LIBRE
